Category,Question,Answer,Rounds,Points,DailyDouble
COLORS,"Here's a hint from Heloise: celebrate St. Patrick's Day by dyeing your mashed potatoes this color",green,1,1,0
COLORS,"It's the color named for the fatty part of milk that rises to the top",cream,1,2,0
COLORS,"On the flag of El Salvador, the stripe of this color represents peace",white,1,3,0
COLORS,"In names of Crayola colors, this color has preceded ""heart"", ""pizzazz"" & ""mountain majesty""",purple,1,4,0
COLORS,"Jewelers know that a tourmaline of this color is sometimes called a Brazilian sapphire",blue,1,5,0
FOREIGN WORDS & PHRASES,"Before a trip, it's proper to wish someone ""bon"" this, whether they're traveling by ship or not",voyage,1,1,0
FOREIGN WORDS & PHRASES,"In many places of business, ""no zapatos, no service"", ""zapatos"" being Spanish for these",shoes,1,2,0
FOREIGN WORDS & PHRASES,"Italian for ""to the tooth"", it's how to order your pasta if you want it a little firm",al dente,1,3,0
FOREIGN WORDS & PHRASES,"Germany's superhighway, it's the equivalent of our expressways",the Autobahn,1,4,0
FOREIGN WORDS & PHRASES,"""Seize the day"", I tell you, but do it with this Latin phrase",carpe diem,1,5,0
IN THE BOOKSTORE,"""Ahab's Wife"" tells a whale of a tale about a character mentioned briefly in this classic novel",Moby-Dick,1,1,0
IN THE BOOKSTORE,"""Hope Was Here"" is a book about a teen waitress at the Welcome Stairways Diner in this ""Dairy State""",Wisconsin,1,2,0
IN THE BOOKSTORE,"Take a bite out of ""The Vampire Armand"", the sixth book in her ""Vampire Chronicles""",Anne Rice,1,3,0
IN THE BOOKSTORE,"""Fever 1793"" depicts a teen's struggle during the 1793 epidemic of this ""colorful"" fever in Philadelphia",yellow fever,1,4,0
IN THE BOOKSTORE,"A secret code called nu shu is pivotal to the plat of ""Snow Flower and the Secret Fan"", set in this country",China,1,5,0
SPORTS TERMS,"Net, ace, foot fault",tennis,1,1,0
SPORTS TERMS,"Goalie, throw-in, midfielder",soccer,1,2,0
SPORTS TERMS,"Bunker, wedge, caddie",golf,1,3,0
SPORTS TERMS,"Bomb, backfield, blitz",football,1,4,0
SPORTS TERMS,"Fletch, quiver, bowstring",archery,1,5,0
STATE CAPITALS,"In 1821 Mississippi named its capital for this hero of the War of 1812; he didn't become president until 8 years later",(Andrew) Jackson,1,1,0
STATE CAPITALS,"When Kansas became a state in 1861, this city became capital",Topeka,1,2,0
STATE CAPITALS,"This capital lies in the Eagle Valley about 30 miles south of Reno",Carson City,1,3,0
STATE CAPITALS,"Tempe is a southern suburb of this state capital",Phoenix,1,4,0
STATE CAPITALS,"A statue of Ethan Allen stands within the portico of the state capitol building in this city",Montpelier,1,5,1
THE WORLD ALMANAC 2007,"Of the 4 of these that will happen in 2007, Americans will see only the lunar ones",an eclipse,1,1,0
THE WORLD ALMANAC 2007,"""Offbeat News Stories"" included a prize given to scientists who explained why these birds don't get headaches",woodpeckers,1,2,0
THE WORLD ALMANAC 2007,"Born in 1984, this Brit is the youngest man on the list ""Widely Known World Personalities of the Present""",Prince Harry,1,3,0
THE WORLD ALMANAC 2007,"Alphabetically, a select list of endangered species runs from albatross to this",zebra,1,4,0
THE WORLD ALMANAC 2007,"The editors' picks for a 2006 time capsule include a yellow ribbon magnet with this 3-word slogan","Support our troops.",1,5,0
ANNUAL EVENTS,"The first one of these days was originally conceived as an environmental teach-in",Earth Day,2,1,0
ANNUAL EVENTS,"In 2007 Elvis Presley Birthday Week in Memphis included cake for all visitors to this mansion on January 8th",Graceland,2,2,0
ANNUAL EVENTS,"This Sunday before Easter celebrates Jesus' triumphant entry into Jerusalem",Palm Sunday,2,3,0
ANNUAL EVENTS,"Jerry Lewis has been hosting the Muscular Dystrophy Telethon on this holiday weekend since 1966",Labor Day,2,4,0
ANNUAL EVENTS,"By law, a term of the U.S. Supreme Court begins on the first Monday in this month",October,2,5,0
CROSSWORD CLUES "D","10-sport olympic event (9)",the decathalon,2,1,0
CROSSWORD CLUES "D","to consume quickly, like a good book (6)",to devour,2,2,0
CROSSWORD CLUES "D","pious, or ardent (6)",devout,2,3,0
CROSSWORD CLUES "D","Strauss' Beautiful Blue body of water (6)",the Danube,2,4,0
CROSSWORD CLUES "D","Branch of medicine for the skin (11)",dermatology,2,5,0
FAMOUS CANADIANS,"In 1917 & 1918 Ontario's Billy Bishop claimed 72 aerial victories as an Ace in this war",World War I,2,1,0
FAMOUS CANADIANS,"Toronto-born journalist Morley Safer began hosting this Sunday TV news magazine way back in 1970",60 Minutes,2,2,0
FAMOUS CANADIANS,"Nova Scotia's Samuel Cunard founded the famous Cunard line of these in 1838",cruisers (or ships),2,3,0
FAMOUS CANADIANS,"James Gosling helped create this computer language that shares its name with a breakfast beverage",Java,2,4,0
FAMOUS CANADIANS,"Co-discoverer of this pancreatic hormone, Ontario's Frederick Banting won a 1923 Nobel Prize",insulin,2,5,0
NOW WE'RE IN BUSINESS!,"Eating at this fast-food chain twice daily helped Jared Fogle lose over 200 pounds",Subway,2,1,0
NOW WE'RE IN BUSINESS!,"In July 2004 this tech company said it would give back $75 billion to its shareholders",Microsoft,2,2,0
NOW WE'RE IN BUSINESS!,"Give us your best ""Gilbert Gottfried as a duck"" impression & name this insurance Co. headquartered in Columbus, Georgia",AFLAC,2,3,0
NOW WE'RE IN BUSINESS!,"Dash off a letter to this telecom giant's Overland Park, Kansas HQ where you can hear a pin drop",Sprint,2,4,0
NOW WE'RE IN BUSINESS!,"""We're going to race the truck.  People love the truck"", claimed this delivery company",UPS,2,5,0
SCIENCE,"The third law of thermodynamics implies that a system can never be brought to this temperature point",absolute zero,2,1,0
SCIENCE,"In 2006, Israeli scientists claimed to have created the ""ball"" type of this stormy phenomenon using a microwave oven",a lightning storm,2,2,0
SCIENCE,"This type of ""cell"" sounds like it causes disease, but it refers to a gamete, such as an egg cell",a germ cell,2,3,0
SCIENCE,"We went underground to learn that this unit is equal to about 6.022 x 10<sup>23</sup> molecules of a given substance",a mole,2,4,1
SCIENCE,"In 2007 Intel announced a new faster chip design replacing silicon with this element, symbol Hf",hafnium,2,5,0
WAY BACK IN THE 1990s,"When the U.K.'s 99-year lease on this crown colony ended, China retook control on July 1, 1997",Hong Kong,2,1,0
WAY BACK IN THE 1990s,"On Aug. 10, 1993 she was sworn in as the 107th Supreme Court Justice",Ginsburg,2,2,0
WAY BACK IN THE 1990s,"Partying like it was February of 1999, Hugo Chavez became President of this country",Venezuela,2,3,0
WAY BACK IN THE 1990s,"On Jan. 1, 1993 2 new European nations were formed from the split of this suddenly ex-country",Czechoslovakia,2,4,1
WAY BACK IN THE 1990s,"On Oct. 26, 1994 a peace treaty was signed between Israel & this country led by King Hussein I",Jordan,2,5,0
17th CENTURY PEOPLE,"Rev. John Robinson, Minister to these people, wrote them a letter saying how upset he was not to be going with them",the Pilgrims,3,NaN,0
